Time    Battery
2021.06.14 08:53:04     100%
2021.06.14 08:53:07     95%
2021.06.14 08:53:17     90%
2021.06.14 08:53:19     95%
2021.06.14 08:53:30     90%
2021.06.14 08:53:35     95%
2021.06.14 08:53:38     90%
2021.06.14 08:53:50     95%
2021.06.14 08:54:01     90%
2021.06.14 08:54:05     95%
2021.06.14 08:54:20     100%
2021.06.14 08:54:35     100%
2021.06.14 08:54:44     95%
2021.06.14 08:54:50     90%
2021.06.14 08:54:50     95%
2021.06.14 08:55:01     90%
2021.06.14 08:55:05     95%
2021.06.14 08:55:19     90%
2021.06.14 08:55:21     95%
2021.06.14 08:55:23     90%
2021.06.14 08:55:33     85%
2021.06.14 08:55:36     90%
2021.06.14 08:55:37     85%
2021.06.14 08:55:42     80%
