Time    Romove weed     Life
13,2361904     1       19
19,5206995     2       18
23,4430191     3       17
27,5703136     4       16
33,290517     5       15
42,7163501     6       14
47,893021     7       13
55,3116607     8       12
58,8340347     9       11
81,7208584     10       10
84,5233874     11       9
91,9591827     12       8
99,4590266     13       7
122,4017826     14       6
229,610095     15       5
270,9508699     16       4
298,1044175     17       3
309,7096749     18       2
312,1079221     19       1
314,9013328     20       0
